,index,Ticker,Stock Price,5 Years Price Return,Number of shares to buy
0,31,AMD,116.68,15.946803694742304,1714
1,345,NVDA,221.98,12.923691397715876,900
2,358,PAYC,533.82,9.468324295569838,374
3,195,FTNT,323.69,9.431718134240109,617
4,339,NOW,682.33,7.915297061167967,293
5,319,MSCI,617.87,7.090271097479454,323
6,502,ZBRA,520.11,6.945072566327841,384
7,387,PYPL,274.11,5.98933663552274,729
8,222,HLT,149.25,5.7145665349805,1340
9,351,ODFL,305.05,5.690627644216411,655
10,150,DXCM,570.83,5.667422168067646,350
11,24,ALGN,601.5,5.660782567759447,332
12,288,LRCX,588.19,5.462922996804189,340
13,332,NFLX,652.97,5.259542506994729,306
14,85,CDNS,159.54,5.169792856995578,1253
15,410,SIVB,712.34,5.112867176130797,280
16,320,MSFT,318.23,4.954786252731816,628
17,236,IDXX,653.77,4.909351989007869,305
18,9,ADBE,638.48,4.78560501888844,313
19,490,WST,412.57,4.763324183055257,484
20,263,KEYS,176.42,4.442291224512927,1133
21,113,CPRT,149.89,4.44174100540264,1334
22,243,INTU,568.28,4.398047471120804,351
23,3,AAPL,150.19,4.333867676696452,1331
24,299,MCHP,76.32,4.321587398580664,2620
25,415,SNPS,310.36,4.209338190610124,644
26,266,KLAC,340.9,4.198496109759771,586
27,29,AMAT,134.48,4.153790037394121,1487
28,37,ANET,398.69,3.9942382379565,501
29,462,URI,361.03,3.7740203818455,553
30,101,CMG,1897.01,3.6301792712012504,105
31,63,BIO,728.5,3.594576446368077,274
32,78,CARR,55.86,3.4995,3580
33,398,RMD,258.45,3.258670667972938,773
34,179,FCX,39.86,3.250420379923469,5017
35,86,CDW,180.86,3.242761683769307,1105
36,13,ADSK,301.24,3.240332731316415,663
37,128,DE,339.49,3.22996880610607,589
38,250,ISRG,332.0,3.2186683181523,602
39,504,ZTS,208.68,3.190877665367537,958
40,432,TDY,447.21,3.185436745806772,447
41,36,AMZN,3515.64,3.162658784581961,56
42,133,DHR,316.06,3.1172618887728776,632
43,385,PWR,114.89,3.1151436602721403,1740
44,436,TGT,251.23,3.100145109299305,796
45,340,NRG,42.71,3.075788469628865,4682
46,114,CRM,296.81,3.0419288211853814,673
47,447,TTWO,172.67,3.03539417839821,1158
48,117,CTAS,431.36,3.023565661673219,463
49,324,MU,70.22,2.9919709796794,2848
